PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21
Par,Robbins Park,Main,2020-07-23 12:03,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-23 12:03,53,-3,3,3,2,3,3,2,3,3,4,3,2,4,2,3,3,5,3,2,,,
Par,Robbins Park,Main,2020-07-22 18:24,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-22 18:24,51,-5,2,2,3,3,4,2,2,3,3,2,3,3,2,4,3,5,3,2,,,
Par,Bradford Park,19 Holes - Shorts,2020-07-19 18:00,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-07-19 18:00,59,1,3,3,3,3,3,4,4,3,4,3,3,2,3,3,3,4,2,3,3,,
Par,Jackson Park,Main,2020-07-19 12:39,58,,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,,,
Mark,Jackson Park,Main,2020-07-19 12:39,51,-7,2,3,3,3,3,4,2,4,2,3,3,3,3,3,2,2,2,4,,,
Par,Jackson Park,Main,2020-07-19 11:09,58,,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,,,
Mark,Jackson Park,Main,2020-07-19 11:09,52,-6,2,3,3,3,2,3,2,4,3,2,3,3,3,3,3,4,3,3,,,
Par,Robbins Park,Main,2020-07-16 19:26,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-16 19:26,50,-6,3,2,3,3,2,2,2,3,2,4,3,3,3,3,3,5,2,2,,,
Par,Robbins Park,Main,2020-07-08 16:45,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-08 16:45,54,-2,2,3,3,2,4,2,2,2,4,3,3,4,3,3,3,4,5,2,,,
Par,Robbins Park,Main,2020-07-08 15:12,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-08 15:12,56,0,2,3,2,3,2,3,4,3,3,6,3,4,5,3,2,3,3,2,,,
Par,Bradford Park,19 Holes - Shorts,2020-07-01 18:13,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-07-01 18:13,58,0,3,3,3,3,3,4,3,2,3,3,3,2,3,3,4,4,3,3,3,,
Par,Bailey Road Park,Max Holes - 2016,2020-06-26 19:16,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-26 19:16,50,-13,2,2,2,2,2,3,2,3,3,2,2,2,3,3,3,2,2,2,3,2,3
Par,Bailey Road Park,Max Holes - 2016,2020-06-26 18:09,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-26 18:09,54,-9,2,3,2,2,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,2,4
Par,Bailey Road Park,Max Holes - 2016,2020-06-26 17:04,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-26 17:04,59,-4,2,2,3,3,3,3,4,2,3,3,2,5,2,3,4,2,3,3,2,2,3
Par,Robbins Park,Main,2020-06-24 18:32,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-06-24 18:32,55,-1,3,3,2,3,3,2,3,4,4,3,3,4,2,3,3,4,4,2,,,
Par,Robbins Park,Main,2020-06-23 18:37,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-06-23 18:37,60,4,4,3,2,4,2,3,2,3,3,3,4,5,4,3,3,4,4,4,,,
Par,Robbins Park,Main,2020-06-22 17:33,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-06-22 17:33,51,-5,3,4,2,3,3,2,2,2,3,3,2,4,2,3,3,4,3,3,,,
Par,Bailey Road Park,Max Holes - 2016,2020-06-20 18:15,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-20 18:15,54,-9,2,3,3,2,2,3,4,4,2,3,2,4,3,2,2,2,2,3,2,2,2
Par,Robbins Park,Main,2020-06-08 18:10,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-06-08 18:10,57,1,3,2,2,3,4,2,4,3,3,3,4,4,4,3,4,4,2,3,,,
Par,Bailey Road Park,Max Holes - 2016,2020-06-05 18:36,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-05 18:36,55,-8,3,2,2,3,3,3,2,2,2,3,2,3,3,2,3,2,3,3,3,3,3
Par,Bradford Park,19 Holes - Shorts,2020-06-04 18:41,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-06-04 18:41,59,1,3,3,3,4,4,3,3,3,3,2,4,2,3,2,3,4,2,4,4,,
Par,Bradford Park,19 Holes - Shorts,2020-06-03 17:32,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-06-03 17:32,59,1,3,3,3,3,3,3,3,3,3,5,2,3,3,3,3,3,3,3,4,,
Par,Bailey Road Park,Max Holes - 2016,2020-05-31 16:13,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-05-31 16:13,57,-6,2,3,3,2,2,2,3,3,3,2,3,2,6,3,3,2,3,2,4,2,2
Par,Bailey Road Park,Max Holes - 2016,2020-05-30 18:16,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-05-30 18:16,51,-12,2,3,2,2,2,3,3,2,3,3,2,3,3,2,3,2,2,3,2,2,2
Par,Bailey Road Park,Max Holes - 2016,2020-05-26 18:10,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-05-26 18:10,57,-6,3,4,3,3,2,2,2,2,3,2,2,3,3,3,3,2,2,3,4,4,2
Par,Nevin Park,Long Tees,2020-05-17 13:07,69,,4,3,3,4,5,3,3,3,4,5,4,5,3,4,3,4,5,4,,,
Mark,Nevin Park,Long Tees,2020-05-17 13:07,70,1,3,4,3,4,4,3,3,3,4,5,4,5,3,4,3,5,6,4,,,
Par,Nevin Park,Long Tees,2020-05-17 11:08,69,,4,3,3,4,5,3,3,3,4,5,4,5,3,4,3,4,5,4,,,
Mark,Nevin Park,Long Tees,2020-05-17 11:08,76,7,4,5,4,5,6,3,4,4,4,4,6,5,4,3,3,4,4,4,,,
Par,Robbins Park,Main,2020-05-15 16:57,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-05-15 16:57,56,0,3,4,3,3,2,2,2,3,3,3,4,5,3,3,3,4,3,3,,,
Par,Bradford Park,19 Holes - Shorts,2020-05-14 18:37,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-05-14 18:37,58,0,2,4,2,4,3,2,4,3,6,3,2,3,3,3,3,3,3,2,3,,
Par,Bradford Park,19 Holes - Shorts,2020-05-09 14:51,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-05-09 14:51,61,3,3,4,3,4,3,4,2,3,3,3,2,2,3,4,3,4,4,3,4,,
Par,Bradford Park,19 Holes - Shorts,2020-05-09 13:00,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-05-09 13:00,58,0,3,4,4,3,4,3,3,3,4,3,2,3,2,3,3,2,3,2,4,,
Par,Bailey Road Park,Max Holes - 2016,2020-05-03 15:26,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-05-03 15:26,56,-7,3,2,2,3,2,3,2,2,3,2,4,3,2,4,2,2,3,3,3,2,4
Par,Robbins Park,Main,2020-05-01 16:45,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-05-01 16:45,59,3,3,3,3,3,4,3,2,3,3,3,3,6,3,4,3,4,3,3,,,
Par,Bradford Park,19 Holes - Shorts,2020-04-25 18:01,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-04-25 18:01,61,3,3,3,3,3,3,4,3,4,3,3,2,3,3,3,4,4,5,2,3,,
Par,Bradford Park,Long Tees,2020-04-25 13:07,58,,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,,,
Mark,Bradford Park,Long Tees,2020-04-25 13:07,64,6,4,5,3,2,3,3,3,5,4,4,3,3,3,3,6,3,3,4,,,
Par,Robbins Park,Main,2020-04-22 17:41,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-04-22 17:41,56,0,3,4,4,3,4,3,2,2,3,4,2,4,3,3,3,4,2,3,,,
Par,Bailey Road Park,Max Holes - 2016,2020-04-21 17:40,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lark,Bailey Road Park,Max Holes - 2016,2020-04-21 17:40,64,1,3,2,4,2,2,5,3,3,2,4,2,3,4,3,3,3,3,2,5,3,3
Par,Bradford Park,19 Holes - Shorts,2020-04-19 15:12,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Lark,Bradford Park,19 Holes - Shorts,2020-04-19 15:12,74,16,5,4,3,4,3,4,6,4,4,3,3,3,3,5,2,6,2,3,7,,
Par,Bailey Road Park,Max Holes - 2016,2020-04-18 15:28,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lark,Bailey Road Park,Max Holes - 2016,2020-04-18 15:28,71,8,3,3,3,3,3,3,4,3,5,2,3,3,6,3,4,3,3,3,3,4,4
Par,Bailey Road Park,Max Holes - 2016,2020-04-18 14:16,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-04-18 14:16,52,-11,2,3,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,2,2,3
Par,Robbins Park,Main,2020-04-17 16:47,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-04-17 16:47,51,-5,2,3,2,3,3,2,2,3,3,3,3,4,4,3,3,3,2,3,,,
Par,Bailey Road Park,Max Holes - 2016,2020-04-16 17:47,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-04-16 17:47,61,-2,2,3,3,3,3,3,3,2,3,2,2,3,2,3,5,3,3,3,4,3,3
Par,Bradford Park,19 Holes - Shorts,2020-04-14 17:31,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-04-14 17:31,59,1,3,3,3,4,3,2,2,3,3,3,3,2,3,3,3,3,4,5,4,,
Par,Robbins Park,Main,2020-04-11 14:11,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-04-11 14:11,61,5,3,3,3,3,3,2,3,3,5,4,4,4,3,4,3,5,3,3,,,
Par,Robbins Park,Main,2020-04-09 17:58,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-04-09 17:58,62,6,3,3,4,3,5,4,3,3,3,3,3,6,4,2,3,5,2,3,,,
Par,Bradford Park,19 Holes - Shorts,2020-04-07 17:45,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-04-07 17:45,63,5,2,3,3,3,4,3,3,3,3,4,3,3,3,3,5,4,4,3,4,,
Par,Bradford Park,19 Holes - Shorts,2020-04-05 18:09,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-04-05 18:09,54,-4,3,2,2,3,2,2,5,3,3,3,2,2,2,2,3,4,4,3,4,,
Par,Bailey Road Park,Max Holes - 2016,2020-04-04 17:09,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-04-04 17:09,55,-8,3,2,2,3,2,2,3,3,3,2,3,2,2,3,3,2,3,3,3,3,3
Par,Bailey Road Park,Max Holes - 2016,2020-04-04 15:40,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-04-04 15:40,59,-4,3,2,3,2,2,3,3,3,3,3,2,3,2,3,3,4,3,4,3,3,2
Par,Bailey Road Park,Max Holes - 2016,2020-04-03 16:53,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-04-03 16:53,61,-2,3,3,3,2,3,3,4,3,3,2,3,3,2,4,3,3,3,3,3,3,2
Par,Bradford Park,19 Holes - Shorts,2020-04-01 18:10,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-04-01 18:10,61,3,3,3,3,4,4,4,3,3,4,3,5,3,2,2,3,3,2,3,4,,
Par,Bailey Road Park,Am Worlds 2018,2020-03-29 14:52,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bailey Road Park,Am Worlds 2018,2020-03-29 14:52,51,-3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,,,
Par,Robbins Park,Longs,2020-03-28 17:20,58,,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,,,
Mark,Robbins Park,Longs,2020-03-28 17:20,58,0,3,4,3,3,2,3,3,3,3,4,3,4,4,4,3,4,3,2,,,
Par,Hornets Nest Park,Shorts 18 Holes,2020-03-27 17:34,58,,3,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,4,3,,,
Mark,Hornets Nest Park,Shorts 18 Holes,2020-03-27 17:34,61,3,3,3,4,4,2,2,3,3,3,3,4,3,4,4,3,5,5,3,,,
Par,Robbins Park,Main,2020-03-22 13:45,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-03-22 13:45,61,5,3,3,2,4,4,3,4,4,3,3,3,4,2,4,4,4,3,4,,,
Par,Bayville Park,Gold To Yellow,2020-01-01 10:10,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2020-01-01 10:10,49,-5,2,3,3,3,2,2,2,3,4,3,2,2,3,3,3,3,2,4,,,
Par,Hornets Nest Park,Nest - Hornets Nest Park,2019-06-17 11:17,58,,3,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,4,3,,,
Mark,Hornets Nest Park,Nest - Hornets Nest Park,2019-06-17 11:17,64,6,3,4,4,2,2,3,4,4,3,3,4,3,4,5,4,4,5,3,,,
Par,Bayville Park,Gold To Yellow,2019-06-09 18:05,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2019-06-09 18:05,53,-1,2,2,2,3,3,3,3,3,3,5,3,4,4,2,3,4,2,2,,,
Par,Bayville Park,Gold To Yellow,2019-05-31 17:07,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2019-05-31 17:07,55,1,3,3,3,3,3,3,4,2,3,5,3,4,2,3,3,2,3,3,,,
Par,Munden Point,Main -Short Tee To Short Basket,2019-05-27 12:46,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Munden Point,Main -Short Tee To Short Basket,2019-05-27 12:46,54,0,2,3,3,3,4,3,3,3,4,2,3,4,3,3,3,3,3,2,,,
Par,Munden Point,Main -Short Tee To Short Basket,2019-05-27 11:01,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Munden Point,Main -Short Tee To Short Basket,2019-05-27 11:01,54,0,3,3,3,3,3,3,2,3,4,3,3,2,4,3,4,3,3,2,,,
Par,Bennett's Creek,White Tees,2019-05-25 11:56,59,,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,4,4,3,,,
Mark,Bennett's Creek,White Tees,2019-05-25 11:56,69,10,3,3,4,3,5,4,2,2,4,5,4,4,6,4,4,4,4,4,,,
Par,Bayville Park,Red To Yellow,2019-05-23 18:10,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Red To Yellow,2019-05-23 18:10,54,0,2,3,4,2,3,3,4,4,3,3,3,3,3,2,3,3,3,3,,,
Par,Bayville Park,Gold To Red,2019-05-22 17:36,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Red,2019-05-22 17:36,59,5,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4,,,
Par,New Quarter Park,Main,2019-05-04 10:23,57,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,,,
Mark,New Quarter Park,Main,2019-05-04 10:23,66,9,3,4,4,4,5,3,4,5,3,3,3,3,4,2,3,5,3,5,,,
Par,Bayville Park,Gold To Yellow,2019-03-28 16:31,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2019-03-28 16:31,55,1,3,3,3,3,4,3,3,3,3,3,2,4,2,4,3,3,2,4,,,
Par,Munden Point,Main -Short Tee To Short Basket,2019-03-23 11:18,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Munden Point,Main -Short Tee To Short Basket,2019-03-23 11:18,53,-1,3,3,3,2,3,3,2,3,4,3,4,4,3,3,2,3,2,3,,,
Par,Bayville Park,Gold To Yellow,2019-03-12 17:30,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2019-03-12 17:30,31,-2,0,0,0,0,0,0,0,2,3,3,3,4,2,3,2,3,3,3,,,
Par,Bayville Park,Gold To Yellow,2018-12-29 10:30,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-12-29 10:30,53,-1,3,3,4,2,4,3,3,3,2,3,3,3,3,3,3,3,3,2,,,
Par,Bayville Park,Red To Yellow,2018-09-15 13:56,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Red To Yellow,2018-09-15 13:56,57,3,3,3,3,3,4,3,2,2,3,4,4,4,3,3,3,3,3,4,,,
Par,Bayville Park,Gold To Yellow,2018-09-06 18:19,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-09-06 18:19,52,-2,3,3,3,3,3,2,3,3,2,2,3,3,3,3,4,3,4,2,,,
Par,Bayville Park,Gold To Yellow,2018-09-06 17:06,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-09-06 17:06,41,-4,2,3,3,2,3,2,3,3,3,3,2,3,2,3,4,0,0,0,,,
Par,Creek Wise,Red,2018-09-02 11:22,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Creek Wise,Red,2018-09-02 11:22,58,4,4,4,3,3,2,3,3,3,3,4,3,3,5,4,2,3,3,3,,,
Par,Bailey Road Park,Regulation Course,2018-08-25 13:36,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bailey Road Park,Regulation Course,2018-08-25 13:36,50,-4,2,3,2,3,2,3,2,3,4,2,3,3,2,3,2,4,4,3,,,
Par,Bayville Park,Gold To Yellow,2018-08-19 18:18,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-08-19 18:18,50,-4,2,3,3,3,3,3,3,2,3,3,2,3,3,3,4,2,2,3,,,
Par,Bayville Park,Gold To Yellow,2018-08-14 19:30,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-08-14 19:30,24,-3,2,3,4,3,3,2,2,3,2,0,0,0,0,0,0,0,0,0,,,
Par,Bayville Park,Gold To Red,2018-08-14 18:12,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Red,2018-08-14 18:12,53,-1,4,4,2,3,3,2,2,3,3,2,3,3,4,2,3,3,3,4,,,
Par,Bayville Park,Red To Yellow,2018-08-10 17:22,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Red To Yellow,2018-08-10 17:22,54,0,3,3,3,3,3,2,3,3,3,4,3,3,2,3,3,4,3,3,,,
Par,Bayville Park,Red To Yellow,2018-07-29 13:47,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Red To Yellow,2018-07-29 13:47,57,3,3,4,2,3,3,3,3,2,4,3,6,2,3,2,4,4,3,3,,,
Par,Bayville Park,Gold To Yellow,2018-07-28 14:56,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-07-28 14:56,22,1,3,3,2,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,,,
Par,Bayville Park,Gold To Red,2018-07-28 12:13,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Red,2018-07-28 12:13,28,1,0,0,0,0,0,0,0,0,0,3,3,2,3,5,3,3,4,2,,,
Par,Bayville Park,Gold To Yellow,2018-07-28 10:40,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-07-28 10:40,53,-1,3,2,3,3,4,3,3,3,4,2,3,2,3,3,3,3,3,3,,,
Par,Munden Point,Main -Short Tee To Short Basket,2018-07-22 15:22,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Munden Point,Main -Short Tee To Short Basket,2018-07-22 15:22,49,-5,3,2,2,2,3,3,2,3,3,2,4,2,3,3,3,3,3,3,,,
Par,Bayville Park,Red To Yellow,2018-07-20 15:56,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Red To Yellow,2018-07-20 15:56,57,3,3,3,3,3,2,3,4,3,3,4,3,3,3,3,4,3,4,3,,,
Par,Bayville Park,Gold To Yellow,2018-07-18 17:51,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-07-18 17:51,51,-3,3,2,4,2,3,2,3,2,5,2,3,3,3,3,4,3,2,2,,,
Par,Bayville Park,Gold To Yellow,2018-07-12 18:09,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-07-12 18:09,48,-6,2,3,3,3,3,3,3,2,2,3,2,3,2,2,3,3,3,3,,,
Par,Bayville Park,Gold To Yellow,2018-07-07 13:28,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-07-07 13:28,53,-1,3,4,3,3,3,3,3,4,3,2,3,3,2,3,3,2,3,3,,,
Par,Poplar Hall 9,Main,2018-07-02 18:51,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
Mark,Poplar Hall 9,Main,2018-07-02 18:51,25,-2,2,3,2,3,3,4,3,2,3,,,,,,,,,,,,
Par,Munden Point,Long Tee To Long Basket,2018-07-01 14:55,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Munden Point,Long Tee To Long Basket,2018-07-01 14:55,32,5,3,3,3,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,,,
Par,Munden Point,Main -Short Tee To Short Basket,2018-07-01 13:39,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Munden Point,Main -Short Tee To Short Basket,2018-07-01 13:39,43,-11,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,3,,,
Par,Bayville Park,Red To Red,2018-06-30 10:42,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Red To Red,2018-06-30 10:42,60,6,4,3,4,2,3,3,3,3,3,4,3,3,6,3,4,3,3,3,,,
Par,Bayville Park,Gold To Yellow,2018-06-30 09:11,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Gold To Yellow,2018-06-30 09:11,53,-1,3,3,4,2,3,3,2,3,3,2,4,3,4,3,2,3,3,3,,,
Par,Bayville Park,Red To Yellow,2018-06-26 18:17,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Bayville Park,Red To Yellow,2018-06-26 18:17,55,1,5,4,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,,,
Par,Poplar Hall 9,Main,2018-06-24 15:47,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
Mark,Poplar Hall 9,Main,2018-06-24 15:47,28,1,3,4,3,4,3,2,3,2,4,,,,,,,,,,,,
Par,Poplar Hall 9,Main,2018-06-24 15:13,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
Mark,Poplar Hall 9,Main,2018-06-24 15:13,27,0,3,3,3,2,3,3,4,3,3,,,,,,,,,,,,
Par,Munden Point,Main -Short Tee To Short Basket,2018-05-28 11:52,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Mark,Munden Point,Main -Short Tee To Short Basket,2018-05-28 11:52,51,-3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,,,
